product_name,product_cost,product_rating
"Rigid Fitness Apparel Muscle Stimulator TENS EMS Unit, 24 Modes Muscle Massager for Pain Relief Therapy, Muscles and Nerves Stimulator, Muscle Massager with 10 Pads, with Carry-on bag and Gift Box - RIGID FITNESS ",108.11,15
Theragun Therabody Theragun Mini ,879.00,1
Monistat 1-Day Yeast Infection Treatment ,176.35,
GOOD MOLECULES GOOD MOLECULES Travel Size NIACINAMIDE BRIGHTENING Toner 30ml ,50.00,1
Sharpdo Ultrasonic Inhaler Mesh Nebulizer ,50.00,2.7K
SPORTS RESEARCH Sweet Sweat Workout Enhancer Stick 6.4ounce ,129.00,7
Beauty Body Wireless Muscle Stimulator ,23.00,1
llwoo Multi-function rotary mode Three languages intelligent pronunciation Muscle massage cup ,480.00,11
"Rigid Fitness Apparel Muscle Stimulator TENS EMS Unit, 24 Modes Muscle Massager for Pain Relief Therapy, Muscles and Nerves Stimulator, Muscle Massager with 10 Pads, with Carry-on bag and Gift Box - RIGID FITNESS ",108.11,15
AIWANTO 1-Piece Dish Rack and Drainaboard Set Space Saving Dish Dryer Rack ,77.50,1
,,
Generic Portable Lymphatic Drainage Massager Mini Electric Neck Massager for Pain Relief Cordless Cervical Massage Pad ,40.00,2
MYMI 5-Piece Patch Belly Wing Slimming Set ,14.00,32
Spectrum Spectrum - Therapeutic Beads Pack For Lower Back - Blue ,94.50,
EzzySo Electric Heating Pad for Abdomen Waist Back Pain Relief Washable 10-Gears Heated Physiotherapy Electric Blanket ,105.00,1
"SYOSI Hitch Ball Cover, Towball Cap with Hook Towball Waterproof Protector Cap 2"" Soft PVC Material Drawbar Exterior Accessories for Caravan ",26.90,
,,
Essential 5-Piece Humidifier Oil Multicolour 10ml ,25.50,87
Sefudun 28 Pcs Armpit Antiperspirant Sticker Disposable Sweat Pads Absorbent Deodorant Prevention Pad Reduce Armpit Sweat Extra Adhesive Non Visible Stickers ,56.00,1
ENZYMEDICA Digest Gold Plus Probiotics 90 Caps ,299.95,1
Prime Electric Hot Water Bag with Massager For Body Pain ,39.00,4
"Generic Toothbrush Sanitizer, Effective Antibacterial, Solve Oral Problems, Portable Smart Travel Toothbrush Sanitizer Box, Suitable for Bathroom and Travel (White) ",79.00,
Coralblue 15 Stage Shower Filter for hair fall Shower Head Filter Hard Water Filter Anti Hair Fall Ideal to Remove Chlorine Impurities and Heavy Metals from Water with KDF and Calcium Sulphite Beans ,35.00,1
,,
,,
ADCO inhaler 0.1MG 200 Doses ,24.00,
"SYOSI Portable Toothbrush Head Holder Covers, Toothbrush Protective Case, Toothbrush Head Protector, Cap Toothbrush Head Holder Cover Case for Travel Home Office Camping School 3Pcs ",29.90,
,,
MARNYS Marnys Acticol 60 Caps ,66.00,
kyolic Cleanse And Digestion 100 Veggie Capsules ,61.20,
Generic Nose Wash Neti Pot Sachets Rinse Nasal Irrigation With Water Pulse Saline Bottle Blue 500ml ,34.00,163
CARE AND SMILE Drain Clog Remover 3 Pack Snake Clog Remover Tool Drain Cleaner Tool for Sink Tube Drain Cleaning Hair Clog Remover ,19.95,14
NATURE'S ANSWER Licorice Root Herbal Supplement 30 ML ,40.00,563
,,
Maped Maped unbreakable Flat Ruler 20cm Multicolored ,5.00,
Makats Washing Machine Inlet Hose B07N6MP3WZ Grey ,21.25,4
Target Crystal Flush Mount Light for Living Room ,460.00,
TRAMPOLINEPRO S-POD Movable Luxury personal soundproof Single cabin office private phone pod sound proof booth- Office/Phone booth/Podcast/Private room ,16000.00,4
